izq,izq_title,der,der_title,conf,supp,lift,conv
60674,Stargate: Continuum (2008),59392,Stargate: The Ark of Truth (2008),0.75,0.0,496.25,3.94
59392,Stargate: The Ark of Truth (2008),60674,Stargate: Continuum (2008),0.75,0.0,496.25,3.99
26712,35 Up (1991),50658,49 Up (2005),0.77,0.0,393.02,4.29
26712,35 Up (1991),52767,21 Up (1977),0.82,0.0,389.87,5.56
50658,49 Up (2005),52767,21 Up (1977),0.75,0.0,355.53,3.96
7831,Another Thin Man (1939),7834,After the Thin Man (1936),0.79,0.0,350.11,4.81
50740,Seven Up! (1964),52767,21 Up (1977),0.73,0.0,344.76,3.64
55577,Saw IV (2007),48877,Saw III (2006),0.75,0.0,278.47,4.01
26712,35 Up (1991),7566,28 Up (1985),0.83,0.0,204.24,5.81
6722,Once Upon a Time in China II (Wong Fei-hung Ji Yi: Naam yi dong ji keung) (1992),6721,Once Upon a Time in China (Wong Fei Hung) (1991),0.75,0.0,203.23,3.91
52767,21 Up (1977),7566,28 Up (1985),0.82,0.0,201.61,5.47
50658,49 Up (2005),7566,28 Up (1985),0.79,0.0,195.37,4.8
6918,"Unvanquished, The (Aparajito) (1957)",668,Song of the Little Road (Pather Panchali) (1955),0.82,0.0,190.14,5.43
7810,Babylon 5: A Call to Arms (1999),7649,Babylon 5: In the Beginning (1998),0.81,0.0,189.16,5.35
1971,"Nightmare on Elm Street 4: The Dream Master, A (1988)",1970,"Nightmare on Elm Street 3: Dream Warriors, A (1987)",0.71,0.0,188.05,3.47
72407,"Twilight Saga: New Moon, The (2009)",63992,Twilight (2008),0.72,0.0,179.18,3.53
50740,Seven Up! (1964),7566,28 Up (1985),0.71,0.0,174.0,3.39
6918,"Unvanquished, The (Aparajito) (1957)",670,"World of Apu, The (Apur Sansar) (1959)",0.75,0.0,172.34,3.97
7584,Woman of the Year (1942),7121,Adam's Rib (1949),0.74,0.0,158.41,3.79
86347,Louis C.K.: Chewed Up (2008),86377,Louis C.K.: Shameless (2007),0.78,0.0,155.42,4.57
104069,Louis C.K.: Oh My God (2013),92535,Louis C.K.: Live at the Beacon Theater (2011),0.7,0.0,150.88,3.37
86347,Louis C.K.: Chewed Up (2008),86345,Louis C.K.: Hilarious (2010),0.77,0.0,149.46,4.42
55577,Saw IV (2007),39446,Saw II (2005),0.76,0.0,147.37,4.07
79553,Ip Man 2 (2010),65514,Ip Man (2008),0.8,0.0,147.13,4.95
48877,Saw III (2006),39446,Saw II (2005),0.75,0.0,145.37,3.91
86377,Louis C.K.: Shameless (2007),86345,Louis C.K.: Hilarious (2010),0.74,0.0,142.99,3.85
86345,Louis C.K.: Hilarious (2010),86377,Louis C.K.: Shameless (2007),0.72,0.0,142.99,3.55
104069,Louis C.K.: Oh My God (2013),86377,Louis C.K.: Shameless (2007),0.7,0.0,139.17,3.32
104069,Louis C.K.: Oh My God (2013),86345,Louis C.K.: Hilarious (2010),0.72,0.0,138.49,3.53
66297,Futurama: Into the Wild Green Yonder (2009),56251,Futurama: Bender's Big Score (2007),0.7,0.0,127.9,3.33
7937,"Silence, The (Tystnaden) (1963)",7327,Persona (1966),0.73,0.0,122.13,3.64
26712,35 Up (1991),3077,42 Up (1998),0.76,0.0,120.72,4.06
50658,49 Up (2005),3077,42 Up (1998),0.74,0.0,117.83,3.78
3918,Hellbound: Hellraiser II (1988),3917,Hellraiser (1987),0.78,0.0,107.68,4.45
1975,Friday the 13th Part 2 (1981),1974,Friday the 13th (1980),0.77,0.0,103.96,4.38
